JIO_CENTER_ID_M,NE_NAME.ACCESSIBILITY,NE_STATE,Short name,SITE_R4G_STATE_M,KPI,18-Dec-18,19-Dec-18,20-Dec-18,21-Dec-18,30-Nov-18,cnum
DL-FDBD-JC29-0064,I-DL-BADQ-ENB-I001,Active,"DL-DL-REM-16-MS-2,ENB_10257-cNum0",,,98.06,95.73,98.66,98.66,,0
DL-FDBD-JC29-0064,I-DL-BADQ-ENB-I001,Active,"DL-DL-REM-16-MS-2,ENB_10257-cNum1",,,45.76,56.54,53.41,67.27,,1
DL-FDBD-JC29-0064,I-DL-BADQ-ENB-I001,Active,"DL-DL-REM-16-MS-2,ENB_10257-cNum2",,,93.17,96.37,87.67,89.75,,2
DL-FDBD-JC29-0064,I-DL-BADQ-ENB-I001,Active,"DL-DL-REM-16-MS-2,ENB_10257-cNum3",,,98.46,98.42,92.36,97.59,,3
DL-FDBD-JC29-0064,I-DL-BADQ-ENB-I001,Active,"DL-DL-REM-16-MS-2,ENB_10257-cNum4",,,92.21,98.03,89.21,93.04,,4
DL-FDBD-JC29-0064,I-DL-BADQ-ENB-I001,Active,"DL-DL-REM-16-MS-2,ENB_10257-cNum5",,,98.61,96.69,98.64,98.65,,5
DL-FDBD-JC29-0064,I-DL-BADQ-ENB-I001,Active,"DL-DL-REM-16-MS-2,ENB_10257-cNum6",,,98.72,97.54,78.89,95.15,,6
DL-FDBD-JC29-0064,I-DL-BADQ-ENB-I001,Active,"DL-DL-REM-16-MS-2,ENB_10257-cNum12",,,95.51,98.08,96.61,92.82,,12
DL-FDBD-JC29-0064,I-DL-BADQ-ENB-I001,Active,"DL-DL-REM-16-MS-2,ENB_10257-cNum13",,,95.23,83.6,83.39,95.94,,13
DL-FDBD-JC29-0064,I-DL-BADQ-ENB-I001,Active,"DL-DL-REM-16-MS-2,ENB_10257-cNum14",,,26.3,26.34,30.05,23.87,,14
DL-FDBD-JC29-0064,I-DL-BADQ-ENB-I001,Active,"DL-DL-REM-16-MS-2,ENB_10257-cNum15",,,37.52,34,51.47,43.21,,15
